# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  -7.98046359 -114.35123721   31.91683992];[1.5166929219135137, -0.43849534858757344, -0.24085768586100814, -0.8779019775418646]
[  -7.97863116 -114.36486978   23.93467958];[1.3323529945884205, -0.4581289744565694, 0.0010024400331525157, -0.9032754064646449]
[  -7.97662293 -114.38441022   15.95310033];[1.134878400828829, -0.46890542090573006, 0.2392045103028128, -0.9176618464891857]
[  -7.97478519 -114.40491969    7.97478521];[0.9243547417597596, -0.4737099455280883, 0.4737099496332048, -0.9243547335729906]
[-7.97413186e+00 -1.14412039e+02 -4.89290715e-10];[0.7030123076587912, -0.4750247466465566, 0.7030122951342171, -0.9262574586479074]
[  -7.9747852  -114.40491969   -7.97478521];[0.47370995371113894, -0.473709965993961, 0.9243547302309806, -0.9243547287391234]
[  -7.97662293 -114.38441023  -15.95310033];[0.23920451655582942, -0.46890544010527035, 1.134878400210142, -0.9176618510968565]
[  -7.97863116 -114.36486981  -23.93467957];[0.0010024376365346949, -0.4581289730637162, 1.3323529864150254, -0.9032754025298966]
[  -7.98046359 -114.3512372   -31.91683992];[-0.2408577013614867, -0.43849534819616975, 1.5166929316948483, -0.8779019651121875]
[ -15.96155387 -114.35123432  -31.91854804];[-0.243438491762307, -0.2090655516158451, 1.5054885912423028, -1.0821530045878323]
[ -15.95803592 -114.36504111  -23.93608343];[-0.0023128862225344354, -0.22594942238541116, 1.3227606601237865, -1.1103224974689194]
[ -15.95411149 -114.38484563  -15.95411151];[0.23498034080960056, -0.23498035741426557, 1.1265209478245204, -1.126520955847962]
[ -15.95220932 -114.3916517    -7.97617933];[0.46875878515203123, -0.23909134499069795, 0.917455102894698, -1.134649746359452]
[-1.59509805e+01 -1.14398482e+02 -1.01178035e-09];[0.6970939759598407, -0.24012737148235677, 0.6970939722039601, -1.1368836188289653]
[ -15.95220932 -114.39165171    7.97617933];[0.9174551019990327, -0.23909134329650622, 0.4687587828006805, -1.1346497538761218]
[ -15.95411149 -114.38484561   15.95411151];[1.1265209901342628, -0.23498034874957086, 0.2349803408332246, -1.126520961361642]
[ -15.95803592 -114.36504112   23.93608343];[1.3227606744988256, -0.22594945015243534, -0.0023128747053039744, -1.1103224953140194]
[ -15.96155387 -114.35123432   31.91854805];[1.505488604623954, -0.20906556043374325, -0.24343847868127683, -1.0821530090665594]
[ -23.93829745 -114.36463804   23.93829749];[1.3038829100035148, 0.010021131964952662, -0.010021128594686304, -1.3038829206931826]
[ -23.93491136 -114.37166624   15.95726752];[1.11011088585439, 0.0023936170880668184, 0.2258400499819768, -1.3225340969291897]
[ -23.93226514 -114.37822137    7.97784326];[0.9028920471708703, -0.0008460070358928262, 0.4578539398956345, -1.3318993938685524]
[-2.39305461e+01 -1.14384750e+02  1.62756007e-10];[0.6843605338816756, -0.0016298813542020563, 0.684360513233166, -1.334546002008635]
[ -23.93226514 -114.37822135   -7.97784326];[0.45785392967641725, -0.0008460160984231357, 0.9028920434235364, -1.3318994010793919]
[ -23.93491135 -114.3716663   -15.95726751];[0.225840047687034, 0.002393619452829787, 1.1101108863137992, -1.3225340945254538]
[ -23.93829745 -114.36463803  -23.93829749];[-0.010021122371454416, 0.010021126320501478, 1.3038829058831019, -1.3038829192021448]
[ -31.91702263 -114.35773485  -15.96083563];[0.2089560430148597, 0.24349483489126184, 1.0819471519004609, -1.5052558736807489]
[ -31.91376227 -114.36408701   -7.97974304];[0.43822879236462847, 0.24096237783875296, 0.8775354582280568, -1.5162352335601321]
[-3.19116247e+01 -1.14370303e+02 -2.23714821e-09];[0.6618681215874054, 0.2403805373244005, 0.6618681078320714, -1.5194436857465572]
[ -31.91376226 -114.36408706    7.97974304];[0.8775354724010891, 0.24096237205982102, 0.4382287846661718, -1.516235234483216]
[ -31.91702263 -114.35773486   15.96083562];[1.0819471537674235, 0.24349484528538093, 0.20895602663601648, -1.505255867632088]
[ -31.90170833 -122.30009653   15.95574092];[0.8551868390708656, 0.37146051936078567, 0.0469417525864326, -1.26909183052596]
[ -31.89852614 -122.30624432    7.9776073 ];[0.6650630819954308, 0.36598021247697166, 0.2598132629569248, -1.2831801182398317]
[-3.18962700e+01 -1.22311708e+02  7.56777936e-10];[0.4660950549129833, 0.36432251475615507, 0.4660950546511436, -1.2875891333981535]
[ -31.89852615 -122.3062443    -7.97760731];[0.25981327401447013, 0.36598022867982627, 0.6650630809765965, -1.2831801204397657]
[ -31.90170833 -122.30009654  -15.95574092];[0.04694175256540617, 0.3714605191032828, 0.8551868287881083, -1.2690918315686832]
[ -23.92925392 -122.30453311  -23.92925394];[-0.1535263348849909, 0.1535263412857041, 1.0700754093555915, -1.0700754233521623]
[ -23.92612089 -122.31111991  -15.95259689];[0.06779892080176628, 0.1419739098601428, 0.8867029329785923, -1.0926088183223417]
[ -23.92353809 -122.31727949   -7.97594414];[0.2830202090241022, 0.13592484509501782, 0.693647273471132, -1.1050610553096072]
[-2.39217585e+01 -1.22322942e+02 -7.73160780e-10];[0.49189962173195223, 0.13409871793129302, 0.4918996152375932, -1.1089161142152055]
[ -23.92353809 -122.3172795     7.97594413];[0.6936472808269316, 0.1359248419553657, 0.28302020258581384, -1.1050610615633663]
[ -23.92612089 -122.31111992   15.95259689];[0.8867029342337112, 0.14197391662455433, 0.06779890422273069, -1.0926088182401148]
[ -23.92925392 -122.30453313   23.92925394];[1.0700754174247284, 0.15352634339583374, -0.15352633880801445, -1.0700754287706666]
[ -15.9564938  -122.29504459   31.90338021];[1.2692707160725882, -0.04701816825235938, -0.37142673512624214, -0.855334028974677]
[ -15.95337473 -122.30606408   23.92733337];[1.092775035433821, -0.06787485494772494, -0.1419194408741182, -0.8868533559944245]
[ -15.94996203 -122.32005583   15.94996204];[0.9069032952096856, -0.08068479372524534, 0.08068478347066611, -0.9069032937829145]
