# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 23.94932308 -98.45110589  23.94932314];[1.852726410895534, -1.8527264172260403, 0.28463946137831797, -0.2846394529955277]
[ 23.94649912 -98.4626958   15.95959464];[1.6396292117980351, -1.8570413086858713, 0.5641675956042165, -0.28329302439641013]
[ 23.94435677 -98.47236169   7.97695065];[1.3969530641670058, -1.8529075393468644, 0.8482097240817525, -0.2787458122763291]
[ 2.39429407e+01 -9.84811032e+01 -6.94494489e-10];[1.1294620786549463, -1.849863557700341, 1.1294620642001734, -0.2763372364076776]
[ 23.94435676 -98.47236174  -7.97695065];[0.8482097362847507, -1.8529075467733416, 1.39695306426826, -0.27874581341968707]
[ 23.94649912 -98.46269583 -15.95959464];[0.5641675993644102, -1.8570413264653078, 1.6396292093260894, -0.28329302301864545]
[ 23.94932309 -98.45110587 -23.94932315];[0.2846394579330659, -1.8527264017316243, 1.8527263963471796, -0.28463945169381394]
[ 23.95398576 -98.42714696 -31.94556515];[0.011392258622168569, -1.8315699324420271, 2.0379421621965768, -0.2780017959677902]
[ 23.95906905 -98.40479415 -39.94346996];[-0.2583681660227206, -1.7876116256159356, 2.1995383716059576, -0.2599970662303971]
[ 15.96802384 -98.40693331 -39.94057678];[-0.26217336833077, -1.578783021826803, 2.209012105057163, -0.5321605756444165]
[ 15.9639426  -98.42965953 -31.94322882];[0.008789370717451755, -1.6202210935196424, 2.0442471682382513, -0.554783160806223]
[ 15.9603986  -98.45348364 -23.94757097];[0.2834295387370077, -1.6399978510377737, 1.8574138001976641, -0.5643480973530824]
[ 15.9561984  -98.4897368  -15.95619844];[0.5640166609349457, -1.6427420508796113, 1.6427420483457318, -0.5640166485954501]
[ 15.95467292 -98.50002905  -7.97507383];[0.8494464740525479, -1.6384287422962531, 1.3998208991524639, -0.5599369716942065]
[ 1.59536155e+01 -9.85093822e+01  1.09949558e-10];[1.1317714277844917, -1.6353467356460727, 1.1317714276271031, -0.5575576062487425]
[ 15.95467292 -98.50002909   7.97507382];[1.3998209071643277, -1.6384287163901172, 0.8494464533707493, -0.5599369700797293]
[ 15.95619839 -98.48973683  15.95619844];[1.6427420506293922, -1.64274206947881, 0.5640166607422463, -0.5640166484960019]
[ 15.9603986  -98.45348363  23.94757097];[1.8574138073854538, -1.639997860746914, 0.2834295441823689, -0.5643481028063329]
[ 15.9639426  -98.42965954  31.94322882];[2.0442471761676946, -1.6202210701606514, 0.008789364526498603, -0.5547831600177389]
[ 15.96802384 -98.40693332  39.94057677];[2.2090121005759884, -1.578783023486608, -0.262173369350746, -0.5321605739445969]
[  7.98214552 -98.40760929  39.93847816];[2.2089401687529584, -1.3413686681647785, -0.2675532660421855, -0.8079352597945663]
